#datumDate,datumId,datumValue
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/60Y,0.0023110000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/6M,-0.0056600000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/6Y,-0.0031450000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/7M,-0.0056490000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/7Y,-0.0024850000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/8M,-0.0056320000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/8Y,-0.0017950000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/9M,-0.0056170000
2021-06-24,IR_SWAP/RATE/EUR/ESTER/2D/1D/9Y,-0.0011450000
2021-06-24,MM/RATE/EUR/ESTER/0D/1D,-0.0056500000
2021-06-24,ZERO/YIELD_SPREAD/EUR/EONIA_ESTER_SPREAD/A365/1D,0.0008500000
2021-06-24,ZERO/YIELD_SPREAD/EUR/EONIA_ESTER_SPREAD/A365/50Y,0.0008500000
